Ticker,sector,sectorKey,industry,beta,marketCap
MSFT,Technology,technology,Software - Infrastructure,0.89,3094183936000.0
AAPL,Technology,technology,Consumer Electronics,1.289,2665580593152.0
NVDA,Technology,technology,Semiconductors,1.725,2195912523776.0
AMZN,Consumer Cyclical,consumer-cyclical,Internet Retail,1.171,1811770245120.0
META,Communication Services,communication-services,Internet Content & Information,1.208,1234169364480.0
GOOGL,Communication Services,communication-services,Internet Content & Information,1.044,1760556875776.0
GOOG,Communication Services,communication-services,Internet Content & Information,1.044,1761315782656.0
BRK.B,,,,,
LLY,Healthcare,healthcare,Drug Manufacturers - General,0.344,716585172992.0
AVGO,Technology,technology,Semiconductors,1.273,572556640256.0
TSLA,Consumer Cyclical,consumer-cyclical,Auto Manufacturers,2.415,520936128512.0
JPM,Financial Services,financial-services,Banks - Diversified,1.127,548134420480.0
UNH,Healthcare,healthcare,Healthcare Plans,0.546,452503666688.0
V,Financial Services,financial-services,Credit Services,0.962,581384011776.0
XOM,Energy,energy,Oil & Gas Integrated,0.947,441501548544.0
MA,Financial Services,financial-services,Credit Services,1.078,443898003456.0
JNJ,Healthcare,healthcare,Drug Manufacturers - General,0.531,381178970112.0
PG,Consumer Defensive,consumer-defensive,Household & Personal Products,0.43,379730362368.0
HD,Consumer Cyclical,consumer-cyclical,Home Improvement Retail,0.99,369876926464.0
MRK,Healthcare,healthcare,Drug Manufacturers - General,0.384,307766394880.0
COST,Consumer Defensive,consumer-defensive,Discount Stores,0.765,321819803648.0
ABBV,Healthcare,healthcare,Drug Manufacturers - General,0.555,314219692032.0
CRM,Technology,technology,Software - Application,1.283,285500080128.0
ADBE,Technology,technology,Software - Infrastructure,1.294,222860787712.0
AMD,Technology,technology,Semiconductors,1.651,308712833024.0
CVX,Energy,energy,Oil & Gas Integrated,1.118,288898351104.0
NFLX,Communication Services,communication-services,Entertainment,1.219,262200623104.0
WMT,Consumer Defensive,consumer-defensive,Discount Stores,0.497,488643297280.0
PEP,Consumer Defensive,consumer-defensive,Beverages - Non-Alcoholic,0.534,226313633792.0
KO,Consumer Defensive,consumer-defensive,Beverages - Non-Alcoholic,0.591,258230091776.0
ACN,Technology,technology,Information Technology Services,1.195,234871209984.0
BAC,Financial Services,financial-services,Banks - Diversified,1.388,279407558656.0
TMO,Healthcare,healthcare,Diagnostics & Research,0.8,222743412736.0
MCD,Consumer Cyclical,consumer-cyclical,Restaurants,0.718,201553330176.0
CSCO,Technology,technology,Communication Equipment,0.853,198126862336.0
DIS,Communication Services,communication-services,Entertainment,1.412,205349879808.0
LIN,Basic Materials,basic-materials,Specialty Chemicals,0.94,225488338944.0
ABT,Healthcare,healthcare,Medical Devices,0.743,200395931648.0
ORCL,Technology,technology,Software - Infrastructure,0.994,345047957504.0
INTU,Technology,technology,Software - Application,1.215,175132475392.0
INTC,Technology,technology,Semiconductors,0.996,180281917440.0
WFC,Financial Services,financial-services,Banks - Diversified,1.196,205738573824.0
IBM,Technology,technology,Information Technology Services,0.708,175162474496.0
VZ,Communication Services,communication-services,Telecom Services,0.384,166026625024.0
CMCSA,Communication Services,communication-services,Telecom Services,0.98,169876455424.0
QCOM,Technology,technology,Semiconductors,1.413,186595196928.0
CAT,Industrials,industrials,Farm & Heavy Construction Machinery,1.152,173268828160.0
NOW,Technology,technology,Software - Application,0.972,152501551104.0
DHR,Healthcare,healthcare,Diagnostics & Research,0.86,184481677312.0
AMGN,Healthcare,healthcare,Drug Manufacturers - General,0.578,144092545024.0
PFE,Healthcare,healthcare,Drug Manufacturers - General,0.557,158211358720.0
UNP,Industrials,industrials,Railroads,1.076,148865105920.0
GE,Industrials,industrials,Specialty Industrial Machinery,1.217,184642371584.0
UBER,Technology,technology,Software - Application,1.368,157959356416.0
TXN,Technology,technology,Semiconductors,1.029,157002858496.0
AMAT,Technology,technology,Semiconductor Equipment & Materials,1.593,165057691648.0
SPGI,Financial Services,financial-services,Financial Data & Stock Exchanges,1.152,132804616192.0
PM,Consumer Defensive,consumer-defensive,Tobacco,0.632,146350407680.0
ISRG,Healthcare,healthcare,Medical Instruments & Supplies,1.359,140461047808.0
COP,Energy,energy,Oil & Gas E&P,1.244,141216251904.0
BKNG,Consumer Cyclical,consumer-cyclical,Travel Services,1.403,116659109888.0
RTX,Industrials,industrials,Aerospace & Defense,0.611,123563442176.0
HON,Industrials,industrials,Conglomerates,1.023,128929865728.0
LOW,Consumer Cyclical,consumer-cyclical,Home Improvement Retail,1.12,140475023360.0
NKE,Consumer Cyclical,consumer-cyclical,Footwear & Accessories,1.101,150966550528.0
GS,Financial Services,financial-services,Capital Markets,1.416,126061248512.0
PLD,Real Estate,real-estate,REIT - Industrial,1.014,119328153600.0
AXP,Financial Services,financial-services,Credit Services,1.23,158136647680.0
T,Communication Services,communication-services,Telecom Services,0.694,121955065856.0
BA,Industrials,industrials,Aerospace & Defense,1.522,111367938048.0
ELV,Healthcare,healthcare,Healthcare Plans,0.783,119377813504.0
NEE,Utilities,utilities,Utilities - Regulated Electric,0.497,123309998080.0
MDT,Healthcare,healthcare,Medical Devices,0.771,110965915648.0
SYK,Healthcare,healthcare,Medical Devices,0.899,133940396032.0
PANW,Technology,technology,Software - Infrastructure,1.208,91165900800.0
LRCX,Technology,technology,Semiconductor Equipment & Materials,1.517,119315529728.0
TJX,Consumer Cyclical,consumer-cyclical,Apparel Retail,0.866,111175786496.0
BLK,Financial Services,financial-services,Asset Management,1.383,119528939520.0
SBUX,Consumer Cyclical,consumer-cyclical,Restaurants,0.982,102035668992.0
ETN,Industrials,industrials,Specialty Industrial Machinery,1.07,119011049472.0
VRTX,Healthcare,healthcare,Biotechnology,0.351,105309585408.0
MS,Financial Services,financial-services,Capital Markets,1.413,144525164544.0
PGR,Financial Services,financial-services,Insurance - Property & Casualty,0.347,119998210048.0
UPS,Industrials,industrials,Integrated Freight & Logistics,1.049,130771386368.0
C,Financial Services,financial-services,Banks - Diversified,1.498,110114029568.0
DE,Industrials,industrials,Farm & Heavy Construction Machinery,1.033,106719682560.0
ADP,Industrials,industrials,Staffing & Employment Services,0.789,99448389632.0
MDLZ,Consumer Defensive,consumer-defensive,Confectioners,0.578,95263457280.0
REGN,Healthcare,healthcare,Biotechnology,0.11,105862152192.0
CB,Financial Services,financial-services,Insurance - Property & Casualty,0.629,103991975936.0
BMY,Healthcare,healthcare,Drug Manufacturers - General,0.372,105841426432.0
CI,Healthcare,healthcare,Healthcare Plans,0.558,102923575296.0
MMC,Financial Services,financial-services,Insurance Brokers,0.891,101448294400.0
ADI,Technology,technology,Semiconductors,1.173,96801243136.0
CVS,Healthcare,healthcare,Healthcare Plans,0.499,97404035072.0
BSX,Healthcare,healthcare,Medical Devices,0.779,97166041088.0
LMT,Industrials,industrials,Aerospace & Defense,0.475,105312854016.0
MU,Technology,technology,Semiconductors,1.239,102939607040.0
SCHW,Financial Services,financial-services,Capital Markets,0.996,122305773568.0
GILD,Healthcare,healthcare,Drug Manufacturers - General,0.2,91800797184.0
BX,Financial Services,financial-services,Asset Management,1.499,151447388160.0
AMT,Real Estate,real-estate,REIT - Specialty,0.676,92029902848.0
ZTS,Healthcare,healthcare,Drug Manufacturers - Specialty & Generic,0.867,79014109184.0
SNPS,Technology,technology,Software - Infrastructure,1.064,83903782912.0
FI,Technology,technology,Information Technology Services,0.907,88342003712.0
KLAC,Technology,technology,Semiconductor Equipment & Materials,1.34,92486533120.0
CDNS,Technology,technology,Software - Application,1.044,81247010816.0
TMUS,Communication Services,communication-services,Telecom Services,0.487,192047431680.0
EQIX,Real Estate,real-estate,REIT - Specialty,0.589,80465092608.0
ICE,Financial Services,financial-services,Financial Data & Stock Exchanges,1.03,77097017344.0
SHW,Basic Materials,basic-materials,Specialty Chemicals,1.153,85036097536.0
CME,Financial Services,financial-services,Financial Data & Stock Exchanges,0.498,78298914816.0
CSX,Industrials,industrials,Railroads,1.183,72429035520.0
SO,Utilities,utilities,Utilities - Regulated Electric,0.486,75378573312.0
CMG,Consumer Cyclical,consumer-cyclical,Restaurants,1.286,75583520768.0
DUK,Utilities,utilities,Utilities - Regulated Electric,0.46,73003507712.0
MO,Consumer Defensive,consumer-defensive,Tobacco,0.68,77362987008.0
BDX,Healthcare,healthcare,Medical Instruments & Supplies,0.445,68385996800.0
ITW,Industrials,industrials,Specialty Industrial Machinery,1.144,79755698176.0
WM,Industrials,industrials,Waste Management,0.722,84548427776.0
CL,Consumer Defensive,consumer-defensive,Household & Personal Products,0.412,72807702528.0
ANET,Technology,technology,Computer Hardware,1.1,86827843584.0
SLB,Energy,energy,Oil & Gas Equipment & Services,1.599,75729403904.0
TGT,Consumer Defensive,consumer-defensive,Discount Stores,1.126,75818729472.0
PH,Industrials,industrials,Specialty Industrial Machinery,1.519,68753817600.0
EOG,Energy,energy,Oil & Gas E&P,1.397,71218446336.0
MCK,Healthcare,healthcare,Medical Distribution,0.442,70124568576.0
ABNB,Consumer Cyclical,consumer-cyclical,Travel Services,1.251,102466633728.0
PSX,Energy,energy,Oil & Gas Refining & Marketing,1.356,68036849664.0
MPC,Energy,energy,Oil & Gas Refining & Marketing,1.499,69847531520.0
NOC,Industrials,industrials,Aerospace & Defense,0.343,69279121408.0
USB,Financial Services,financial-services,Banks - Regional,1.054,65573687296.0
MCO,Financial Services,financial-services,Financial Data & Stock Exchanges,1.268,70133014528.0
APH,Technology,technology,Electronic Components,1.307,65564151808.0
TDG,Industrials,industrials,Aerospace & Defense,1.417,65181704192.0
TT,Industrials,industrials,Building Products & Equipment,1.242,66171052032.0
MAR,Consumer Cyclical,consumer-cyclical,Lodging,1.628,70654607360.0
AON,Financial Services,financial-services,Insurance Brokers,0.852,63255076864.0
GD,Industrials,industrials,Aerospace & Defense,0.679,75402035200.0
PYPL,Financial Services,financial-services,Credit Services,1.444,67358859264.0
HCA,Healthcare,healthcare,Medical Care Facilities,1.651,85160747008.0
ORLY,Consumer Cyclical,consumer-cyclical,Specialty Retail,0.862,65718366208.0
PNC,Financial Services,financial-services,Banks - Regional,1.157,59191377920.0
NXPI,Technology,technology,Semiconductors,1.603,60919271424.0
EMR,Industrials,industrials,Specialty Industrial Machinery,1.361,63224295424.0
ROP,Technology,technology,Software - Application,0.99,58578489344.0
NSC,Industrials,industrials,Railroads,1.304,57787392000.0
FDX,Industrials,industrials,Integrated Freight & Logistics,1.207,63295393792.0
ADSK,Technology,technology,Software - Application,1.433,54385754112.0
PCAR,Industrials,industrials,Farm & Heavy Construction Machinery,0.91,61991194624.0
FCX,Basic Materials,basic-materials,Copper,2.016,63989030912.0
MSI,Technology,technology,Communication Equipment,0.901,57181315072.0
LULU,Consumer Cyclical,consumer-cyclical,Apparel Retail,1.325,58671243264.0
PXD,Energy,energy,Oil & Gas E&P,1.329,58396409856.0
CTAS,Industrials,industrials,Specialty Business Services,1.258,63598137344.0
GM,Consumer Cyclical,consumer-cyclical,Auto Manufacturers,1.5,46973751296.0
EW,Healthcare,healthcare,Medical Devices,1.047,55505997824.0
MMM,Industrials,industrials,Conglomerates,1.0,58033504256.0
ECL,Basic Materials,basic-materials,Specialty Chemicals,1.101,64725794816.0
COF,Financial Services,financial-services,Credit Services,1.478,51559559168.0
AJG,Financial Services,financial-services,Insurance Brokers,0.684,54887256064.0
F,Consumer Cyclical,consumer-cyclical,Auto Manufacturers,1.645,47921979392.0
HLT,Consumer Cyclical,consumer-cyclical,Lodging,1.257,51607269376.0
ROST,Consumer Cyclical,consumer-cyclical,Apparel Retail,1.048,48856965120.0
DXCM,Healthcare,healthcare,Medical Devices,1.174,50294292480.0
APD,Basic Materials,basic-materials,Specialty Chemicals,0.821,54381494272.0
TRV,Financial Services,financial-services,Insurance - Property & Casualty,0.593,50620805120.0
VLO,Energy,energy,Oil & Gas Refining & Marketing,1.521,54427299840.0
WELL,Real Estate,real-estate,REIT - Healthcare Facilities,1.081,51967004672.0
AZO,Consumer Cyclical,consumer-cyclical,Specialty Retail,0.699,54088400896.0
AIG,Financial Services,financial-services,Insurance - Diversified,1.033,51936358400.0
IDXX,Healthcare,healthcare,Diagnostics & Research,1.27,44018274304.0
TFC,Financial Services,financial-services,Banks - Regional,1.064,46523805696.0
SPG,Real Estate,real-estate,REIT - Retail,1.681,56510558208.0
CCI,Real Estate,real-estate,REIT - Specialty,0.751,45926920192.0
MSCI,Financial Services,financial-services,Financial Data & Stock Exchanges,1.066,43156262912.0
CARR,Industrials,industrials,Building Products & Equipment,1.254,51350872064.0
NUE,Basic Materials,basic-materials,Steel,1.617,45375614976.0
MCHP,Technology,technology,Semiconductors,1.644,47899987968.0
HUM,Healthcare,healthcare,Healthcare Plans,0.453,41969135616.0
PSA,Real Estate,real-estate,REIT - Industrial,0.532,48808353792.0
DLR,Real Estate,real-estate,REIT - Specialty,0.558,44898140160.0
TEL,Technology,technology,Electronic Components,1.395,42972471296.0
CPRT,Industrials,industrials,Specialty Business Services,1.217,53966864384.0
O,Real Estate,real-estate,REIT - Retail,0.925,44942057472.0
SRE,Utilities,utilities,Utilities - Diversified,0.714,44256825344.0
URI,Industrials,industrials,Rental & Leasing Services,1.839,45393301504.0
DHI,Consumer Cyclical,consumer-cyclical,Residential Construction,1.638,50333319168.0
FTNT,Technology,technology,Software - Infrastructure,1.084,50909425664.0
BK,Financial Services,financial-services,Asset Management,1.102,40963710976.0
ALL,Financial Services,financial-services,Insurance - Property & Casualty,0.509,42669469696.0
GWW,Industrials,industrials,Industrial Distribution,1.138,48856580096.0
CEG,Utilities,utilities,Utilities - Renewable,0.736,52414726144.0
MNST,Consumer Defensive,consumer-defensive,Beverages - Non-Alcoholic,0.718,63309283328.0
AFL,Financial Services,financial-services,Insurance - Life,0.905,48682168320.0
MET,Financial Services,financial-services,Insurance - Life,1.033,52339421184.0
WMB,Energy,energy,Oil & Gas Midstream,1.065,45019746304.0
CNC,Healthcare,healthcare,Healthcare Plans,0.379,40366112768.0
KMB,Consumer Defensive,consumer-defensive,Household & Personal Products,0.412,41935683584.0
HES,Energy,energy,Oil & Gas E&P,1.276,46336950272.0
OKE,Energy,energy,Oil & Gas Midstream,1.61,44903239680.0
SYY,Consumer Defensive,consumer-defensive,Food Distribution,1.151,40284405760.0
AMP,Financial Services,financial-services,Asset Management,1.356,42071068672.0
AEP,Utilities,utilities,Utilities - Regulated Electric,0.509,43238305792.0
IQV,Healthcare,healthcare,Diagnostics & Research,1.508,45996761088.0
LHX,Industrials,industrials,Aerospace & Defense,0.651,40462557184.0
FAST,Industrials,industrials,Industrial Distribution,1.04,42949197824.0
PAYX,Industrials,industrials,Staffing & Employment Services,0.939,43279392768.0
STZ,Consumer Defensive,consumer-defensive,Beverages - Wineries & Distilleries,0.959,48929947648.0
CTSH,Technology,technology,Information Technology Services,1.073,37502439424.0
A,Healthcare,healthcare,Diagnostics & Research,1.107,43219750912.0
PRU,Financial Services,financial-services,Insurance - Life,1.358,40533934080.0
ODFL,Industrials,industrials,Trucking,1.029,45832347648.0
NEM,Basic Materials,basic-materials,Gold,0.498,39056527360.0
COR,Healthcare,healthcare,Medical Distribution,0.446,47849447424.0
AME,Industrials,industrials,Specialty Industrial Machinery,1.222,41969602560.0
LEN,Consumer Cyclical,consumer-cyclical,Residential Construction,1.52,43146309632.0
OXY,Energy,energy,Oil & Gas E&P,1.653,55100612608.0
DOW,Basic Materials,basic-materials,Chemicals,1.305,40383692800.0
CTVA,Basic Materials,basic-materials,Agricultural Inputs,0.765,38661222400.0
JCI,Industrials,industrials,Building Products & Equipment,1.247,43063795712.0
GIS,Consumer Defensive,consumer-defensive,Packaged Foods,0.134,37912338432.0
OTIS,Industrials,industrials,Specialty Industrial Machinery,0.907,39937318912.0
D,Utilities,utilities,Utilities - Regulated Electric,0.608,40063275008.0
YUM,Consumer Cyclical,consumer-cyclical,Restaurants,1.1,38498017280.0
FIS,Technology,technology,Information Technology Services,0.972,39845330944.0
VRSK,Industrials,industrials,Consulting Services,0.787,33627824128.0
RSG,Industrials,industrials,Waste Management,0.68,58615177216.0
GPN,Industrials,industrials,Specialty Business Services,0.968,33130440704.0
IT,Technology,technology,Information Technology Services,1.289,36720545792.0
CMI,Industrials,industrials,Specialty Industrial Machinery,1.038,38987976704.0
MPWR,Technology,technology,Semiconductors,1.25,33429620736.0
BIIB,Healthcare,healthcare,Drug Manufacturers - General,-0.024,31879118848.0
ON,Technology,technology,Semiconductors,1.809,31994122240.0
IR,Industrials,industrials,Specialty Industrial Machinery,1.442,36498853888.0
PCG,Utilities,utilities,Utilities - Regulated Electric,1.327,42434760704.0
EA,Communication Services,communication-services,Electronic Gaming & Multimedia,0.767,35897085952.0
